year,school_name,major_code,major_name,college,planned_enrollment,retest_count,admitted_count,retest_ratio,retest_max_score,retest_min_score,retest_avg_score,retest_politics_avg,retest_english_subject,retest_english_avg,retest_math_subject,retest_math_avg,retest_prof_subject,retest_prof_avg,admitted_max_score,admitted_min_score,admitted_avg_score,admitted_politics_avg,admitted_english_subject,admitted_english_avg,admitted_math_subject,admitted_math_avg,admitted_prof_subject,admitted_prof_avg
2026,山东大学,081100,控制科学与工程,044 控制科学与工程学院,2,26,21,1.3,417.0,219.0,368.2,57.7,201英语一,68.6,301数学一,107.9,847自动控制原理,118.4,417.0,219.0,352.8,,201英语一,,301数学一,,847自动控制原理,,20260818_002109_27考研择校宝典_录取数据表_0815.xlsx
2026,山东大学,085406,控制工程,044 控制科学与工程学院,45,80,60,1.33,434.0,281.0,397.3,56.6,204英语二,77.05,302数学二,121.4,847自动控制原理,120.7,434.0,289.0,375.8,,204英语二,,302数学二,,847自动控制原理,,20260818_002109_27考研择校宝典_录取数据表_0815.xlsx
2026,山东大学,085801,电气工程,044 控制科学与工程学院,5,,,,,,,,204英语二,,302数学二,,847自动控制原理,,,,,,204英语二,,302数学二,,847自动控制原理,,20260818_002109_27考研择校宝典_录取数据表_0815.xlsx
2026,山东大学,080804,电力电子与电力传动,044 控制科学与工程学院,2,,,,,,,,201英语一,,301数学一,,847自动控制原理,,,,,,201英语一,,301数学一,,847自动控制原理,,20260818_002109_27考研择校宝典_录取数据表_0815.xlsx
2026,山东大学,085406,控制工程,071 海洋研究院,2,3,3,1.0,390.0,322.0,365.6,,204英语二,,302数学二,,847自动控制原理,,390.0,322.0,365.6,,204英语二,,302数学二,,847自动控制原理,,20260818_002109_27考研择校宝典_录取数据表_0815.xlsx
2026,山东大学,081100,控制科学与工程,086 低空科学与工程学院,1,2,2,1.0,366.0,316.0,341.0,,201英语一,,301数学一,,847自动控制原理,,366.0,316.0,341.0,,201英语一,,301数学一,,847自动控制原理,,20260818_002109_27考研择校宝典_录取数据表_0815.xlsx
2026,山东大学,085406,控制工程,086 低空科学与工程学院,17,38,24,1.58,426.0,379.0,397.3,57.9,204英语二,78.2,302数学二,138.1,847自动控制原理,126.1,426.0,379.0,400.4,,204英语二,,302数学二,,847自动控制原理,,20260818_002109_27考研择校宝典_录取数据表_0815.xlsx
2026,山东大学,089901,低空技术与工程,086 低空科学与工程学院,8,,,,,,,,201英语一,,301数学一,,847自动控制原理,,,,,,201英语一,,301数学一,,847自动控制原理,,20260818_002109_27考研择校宝典_录取数据表_0815.xlsx
2026,山东大学,085406,控制工程,088 空间科学与技术学院,3,2,2,1.0,385.0,354.0,369.5,,204英语二,,302数学二,,847自动控制原理,,385.0,354.0,369.5,,204英语二,,302数学二,,847自动控制原理,,20260818_002109_27考研择校宝典_录取数据表_0815.xlsx
2026,山东大学,085406,控制工程,053 国家卓越工程师学院,1,,,,,,,,204英语二,,302数学二,,847自动控制原理,,,,,,204英语二,,302数学二,,847自动控制原理,,20260818_002109_27考研择校宝典_录取数据表_0815.xlsx
2026,南京大学,08100Z1,控制科学与智能工程,082 机器人与自动化学院,9,8,6,1.33,414.0,350.0,378.1,,201英语一,,301数学一,,847自动控制原理,65.4,414.0,350.0,386.0,,201英语一,,301数学一,,847自动控制原理,,20260818_002109_27考研择校宝典_录取数据表_0815.xlsx
2026,南京大学,085406,控制工程,082 机器人与自动化学院,38,33,29,1.14,430.0,375.0,397.9,66.2,204英语二,82.5,304数学二,135.9,865自动控制原理,113.4,430.0,375.0,397.5,,204英语二,,304数学二,,865自动控制原理,,20260818_002109_27考研择校宝典_录取数据表_0815.xlsx
2026,西安交通大学,081100,控制科学与工程,054 电子与信息学部—自动化科学与工程学院,18,53,22,2.41,421.0,370.0,391.2,65.9,201英语一,70.2,301数学一,131.9,811自动控制理论（含现控）,123.2,421.0,370.0,401.0,,201英语一,,301数学一,,811自动控制理论（含现控）,,20260818_002109_27考研择校宝典_录取数据表_0815.xlsx
2026,西安交通大学,085406,控制工程,054 电子与信息学部—自动化科学与工程学院,58,95,65,1.46,444.0,343.0,411.8,67.3,204英语二,79.6,302 数学二,139.4,871自动控制理论基础（含现控）,125.5,444.0,391.0,418.5,,204英语二,,302 数学二,,871自动控制理论基础（含现控）,,20260818_002109_27考研择校宝典_录取数据表_0815.xlsx
2026,中南大学,140500,智能科学与技术,036 国家卓越工程师学院,15,17,15,1.15,426.0,317.0,382.5,,201英语一,,301数学一,,846自动控制原理（经典控制理论）,,426.0,340.0,389.3,,201英语一,,301数学一,,846自动控制原理（经典控制理论）,,20260818_002109_27考研择校宝典_录取数据表_0815.xlsx
2026,中南大学,082300,交通运输工程,042 交通运输工程学院,8,1,1,1.0,,,,,201英语一,,301数学一,,895自动控制原理（J）,,,,,,201英语一,,301数学一,,895自动控制原理（J）,,20260818_002109_27考研择校宝典_录取数据表_0815.xlsx
2026,中南大学,081100,控制科学与工程,046 自动化学院,30,48,35,1.29,439.0,390.0,405.0,69.5,201英语一,73.3,301数学一,129.7,846自动控制原理（经典控制理论）,132.8,439.0,391.0,409.0,,201英语一,,301数学一,,846自动控制原理（经典控制理论）,,20260818_002109_27考研择校宝典_录取数据表_0815.xlsx
2026,中南大学,085400,电子信息,046 自动化学院,63,65,54,1.25,450.0,405.0,418.9,69.5,204英语二,79.5,302数学二,138.4,846自动控制原理（经典控制理论）,131.4,450.0,405.0,420.1,,204英语二,,302数学二,,846自动控制原理（经典控制理论）,,20260818_002109_27考研择校宝典_录取数据表_0815.xlsx
2026,华中科技大学,081100,控制科学与工程,184 人工智能与自动化学院,6,14,11,1.27,383.0,354.0,369.64,62.36,201英语一,74.0,301数学一,129.57,829自动控制原理（含经典控制理论、现代控制理论）,103.71,383.0,356.0,370.18,,201英语一,,301数学一,,829自动控制原理（含经典控制理论、现代控制理论）,,20260818_002109_27考研择校宝典_录取数据表_0815.xlsx
2026,华中科技大学,085406,控制工程,184 人工智能与自动化学院,75,105,83,1.27,422.0,347.0,381.75,63.35,201英语一,72.62,301数学一,134.64,829自动控制原理（含经典控制理论、现代控制理论）,111.14,422.0,347.0,384.02,,201英语一,,301数学一,,829自动控制原理（含经典控制理论、现代控制理论）,,20260818_002109_27考研择校宝典_录取数据表_0815.xlsx
2026,吉林大学,081100,控制科学与工程,502 通信工程学院,22,15,11,1.36,433.0,346.0,380.73,72.0,201英语一,69.1,301数学一,123.7,812自动控制原理,115.9,433.0,363.0,389.2,,201英语一,,301数学一,,812自动控制原理,,20260818_002109_27考研择校宝典_录取数据表_0815.xlsx
2026,吉林大学,085406,控制工程,502 通信工程学院,29,26,20,1.3,410.0,342.0,377.38,70.0,201英语一,68.2,302数学二,125.8,812自动控制原理,113.3,410.0,342.0,385.2,,201英语一,,302数学二,,812自动控制原理,,20260818_002109_27考研择校宝典_录取数据表_0815.xlsx
2026,吉林大学,085406,控制工程,409 卓越工程师学院(珠海),3,3,3,1.0,367.0,314.0,345.33,67.3,201英语一,56.0,302数学二,118.7,812自动控制原理,103.3,,,,,201英语一,,302数学二,,812自动控制原理,,20260818_002109_27考研择校宝典_录取数据表_0815.xlsx
2026,国防科技大学,081100,控制科学与工程,005 智能科学学院,8,14,8,1.75,438.0,346.0,382.0,69.7,201英语一,71.9,301数学一,116.6,851自动控制原理,124.4,438.0,368.0,389.8,,201英语一,,301数学一,,851自动控制原理,,20260818_002109_27考研择校宝典_录取数据表_0815.xlsx
2026,国防科技大学,085400,电子信息,005 智能科学学院,71,87,71,1.23,432.0,348.0,381.8,69.1,201英语一,69.5,301数学一,119.7,851自动控制原理,123.6,432.0,348.0,387.5,,201英语一,,301数学一,,851自动控制原理,,20260818_002109_27考研择校宝典_录取数据表_0815.xlsx
2026,东北大学,081100,控制科学与工程,005 信息科学与工程学院,67,98,73,1.34,430.0,369.0,392.5,69.1,201英语一,68.6,301数学一,119.4,839自动控制原理及过程控制,135.3,430.0,371.0,398.0,,201英语一,,301数学一,,839自动控制原理及过程控制,,20260818_002109_27考研择校宝典_录取数据表_0815.xlsx
2026,东北大学,081100,控制科学与工程,005 信息科学与工程学院(秦皇岛）,67,6,6,1.0,393.0,376.0,387.7,65.5,201英语一,66.8,301数学一,118.8,839自动控制原理及过程控制,132.5,,,,,201英语一,,301数学一,,839自动控制原理及过程控制,,20260818_002109_27考研择校宝典_录取数据表_0815.xlsx
2026,东北大学,081100,控制科学与工程,005 信息科学与工程学院(工业智能与系统优化交叉学科创新实验班),67,4,9,1.0,415.0,388.0,400.5,,201英语一,,301数学一,,839自动控制原理及过程控制,,415.0,388.0,400.5,,201英语一,,301数学一,,839自动控制原理及过程控制,,20260818_002109_27考研择校宝典_录取数据表_0815.xlsx
2026,东北大学,085406,控制工程,005 信息科学与工程学院,80,102,77,1.32,452.0,300.0,418.5,68.5,204英语二,80.4,302数学二,133.0,839自动控制原理及过程控制,136.7,400.0,399.0,421.7,,204英语二,,302数学二,,839自动控制原理及过程控制,,20260818_002109_27考研择校宝典_录取数据表_0815.xlsx
2026,东北大学,085406,控制工程,005 信息科学与工程学院(秦皇岛）,156,95,85,1.12,457.0,398.0,418.0,68.9,204英语二,79.0,302数学二,133.8,839自动控制原理及过程控制,136.3,457.0,398.0,419.9,,204英语二,,302数学二,,839自动控制原理及过程控制,,20260818_002109_27考研择校宝典_录取数据表_0815.xlsx
2026,东北大学,085406,控制工程,005 信息科学与工程学院(佛山),156,31,21,1.48,440.0,332.0,412.6,67.2,204英语二,79.7,302数学二,131.4,839自动控制原理及过程控制,134.3,440.0,332.0,416.8,,204英语二,,302数学二,,839自动控制原理及过程控制,,20260818_002109_27考研择校宝典_录取数据表_0815.xlsx
